title,book,page,unit,status,current_image,instruction,activity_id
"Speaking: Describe the Cama",PB,3,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture of the cama. Use the keywords and guiding questions to prepare and record a short description.",42f55a11-9f87-4dad-af4f-7050594481a0
"Explore the Street Scene",PB,4,,EMPTY,"","Use your eyes! 🧐 Look closely at the closely at the picture from page 4. Answer the questions to describe what you see.",0e0129bc-a5a9-4809-9754-2a72ed7a9e79
"Speaking: Describe the People",PB,4,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture from Pupil's Book page 4. The man in the middle is already described. Now, write a short descript",ef96403a-8c2e-4d77-9914-92847f62885c
"What's My Job?",PB,4,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture. Answer the questions to describe the person's job. You can write your answers or record yourself",22137cc1-9d45-44e4-84c2-6f15694eeeea
"Describe the Countryside",PB,5,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture carefully. Use the vocabulary you have learned to describe what you can see. Type your answers to",87e9538d-641c-426c-bac8-593fd1dbb632
"Describe a Public Service Job",PB,7,,EMPTY,"","Look at the picture. Challenge yourself! 📝 Select the best option for one of the people and describe their job. What do they do? Why is their job imp",59e44c16-6513-4161-9ee5-a2ce313a0f73
"Describe the Scene",PB,7,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture. Answer the questions to describe what you see. Try to use words from the lesson.",718ba96a-1240-4651-a902-1ad4e9fce765
"Describe the Job",PB,8,g10u2,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture of the pilot in the cockpit. Answer the questions to describe his job. You can record your answer",72a99ef9-abf0-44c3-bcca-0bdd9551313c
"Describe the View",PB,8,g12u1,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture. Imagine this is the view from Jane's window. Record yourself describing what you see. Use phrase",5273aa77-5bab-4595-b35e-7fdb9235c4f7
"Describe the Person",PB,9,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture of Paul Archer. Answer the questions to describe him and his interests.",d1c884a5-4dd4-418d-a798-0ac2581ced20
